gene-name	chromosome	start	stop
ANKRD12	18	9136758	9285206
TWSG1	18	9334765	9402418
RALBP1	18	9475007	9538112
PPP4R1	18	9546789	9614567
RAB31	18	9708228	9862553
TXNDC2	18	9885766	9888156
VAPA	18	9913999	9960018
APCDD1	18	10454625	10488698
NAPG	18	10525873	10552762
FAM38B	18	10670238	10701979
AP005117.2	18	10731474	10787140
AP005117.1	18	10794068	10871413
AMAC1L1	18	11609474	11644889
AP001120.1	18	11619580	11634052
GNAL	18	11689265	11885684
MPPE1	18	11883470	11908779
IMPA2	18	11981427	12030876
AP002414.1	18	12056672	12057814
AP002414.2	18	12067043	12068260
ANKRD62	18	12094059	12129746
CIDEA	18	12254318	12277594
TUBB6	18	12308070	12326568
AFG3L2	18	12328943	12377251
SLMO1	18	12407895	12432234
AC215219.4	12	73725	91223
FAM138D	12	147889	149412
IQSEC3	12	176049	287620
SLC6A12	12	299243	323689
AC131281.1	8	116086	117024
RPL23AP53	8	149942	182318
ZNF596	8	182200	197342
SLC6A13	12	329788	372002
SPIRE1	18	12446511	12658133
KDM5A	12	389223	498620
FAM87A	8	325934	333174
FBXO25	8	356808	419890
AP005482.1	18	12658205	12658712
CEP76	18	12672631	12702773
C8orf42	8	439943	495331
AC090691.3	8	607527	609962
ERICH1	8	614201	681239
PSMG2	18	12702425	12725739
AC100797.1	8	676271	677179
C8orf68	8	857837	1087483
PTPN2	18	12785477	12884337
AC129915.1	8	947796	960455
DLGAP2	8	1449532	1656641
CCDC77	12	498516	551811
SEH1L	18	12947983	12987533
CLN8	8	1711936	1734738
ARHGEF10	8	1772142	1906799
B4GALNT3	12	569530	672675
AC006205.2	12	619783	622139
NINJ2	12	673462	772907
CEP192	18	12991361	13125052
AC021054.1	12	752148	755044
WNK1	12	862089	1020618
KBTBD11	8	1922044	1955109
RAD52	12	1021243	1058888
C18orf1	18	13218786	13652753
MYOM2	8	1993155	2093380
ERC1	12	1100404	1605099
CSMD1	8	2792875	3611566
C18orf19	18	13663346	13726591
RNMT	18	13726660	13764557
FBXL14	12	1675159	1703331
WNT5B	12	1726222	1756409
MC5R	18	13825543	13826861
MC2R	18	13882043	13915535
ADIPOR2	12	1800193	1897844
ZNF519	18	14104724	14132429
CACNA2D4	12	1901123	2027870
NF1L5	18	14156138	14157185
AP005212.3	18	14377545	14378756
AC009707.1	8	3855421	3889619
MCPH1	8	6264121	6506026
POTEC	18	14507338	14543599
AP006565.1	18	14748239	14852737
LRTM2	12	1929695	1945918
AC005342.1	12	2038368	2045740
DCP1B	12	2055216	2113677
AP005242.1	18	15004038	15006189
ROCK1	18	18529701	18691812
CACNA1C	12	2080229	2807115
GREB1L	18	18822203	19102791
ESCO1	18	19109264	19180845
SNRPD1	18	19192260	19210204
ANGPT2	8	6357172	6420930
ABHD3	18	19230858	19284766
AGPAT5	8	6565878	6619019
MIB1	18	19321281	19450918
XKR5	8	6666038	6693166
GATA6	18	19749404	19782491
CTAGE1	18	19993573	19997878
DEFB1	8	6728097	6735544
RBBP8	18	20513290	20606449
DEFA6	8	6782215	6783598
DEFA4	8	6793344	6795860
DEFA1	8	6835171	6837602
DEFA1B	8	6854288	6856717
DEFA3	8	6873391	6875823
CABLES1	18	20715727	20840434
DEFA5	8	6912831	6914256
FAM90A13	8	7137292	7140766
AF228730.2	8	7142106	7142378
FKBP4	12	2904119	2913124
C18orf45	18	20875977	21017925
FAM90A5	8	7144914	7148476
ITFG2	12	2921788	2934237
AF228730.4	8	7149728	7150000
NRIP2	12	2934512	2944190
FAM90A20	8	7152536	7155546
AC005841.1	12	2958397	2966192
RIOK3	18	21032787	21063104
FAM66E	8	7181843	7182690
USP17L1P	8	7189909	7191501
USP17L4	8	7194637	7196229
ZNF705G	8	7215476	7243080
DEFB108P2	8	7230636	7235022
AC130360.3	8	7272382	7274385
DEFB103B	8	7286410	7287870
SPAG11B	8	7305275	7321196
C18orf8	18	21083462	21111746
FOXM1	12	2966852	2986303
DEFB104B	8	7327830	7332604
DEFB106B	8	7340026	7343922
NPC1	18	21111401	21166470
DEFB105B	8	7345243	7347073
DEFB107B	8	7353368	7366833
FAM90A7	8	7406113	7440175
ANKRD29	18	21178890	21242851
FAM90A22	8	7428955	7434191
FAM90A23	8	7436604	7441835
TULP3	12	3000033	3050297
FAM90A14	8	7572965	7575975
LAMA3	18	21269562	21535030
FAM90A18	8	7580613	7630062
FAM90A17	8	7588261	7591823
FAM90A8	8	7595909	7599470
FAM90A17	8	7603556	7607118
FAM90A19	8	7611204	7614678
TEAD4	12	3068496	3149842
FAM90A9	8	7618852	7622414
DEFB107A	8	7669242	7673238
DEFB105A	8	7679530	7681360
DEFB106A	8	7682694	7686575
DEFB104A	8	7693993	7698764
SPAG11A	8	7705402	7721319
DEFB103A	8	7738726	7740186
DEFB4	8	7752151	7754233
TSPAN9	12	3186521	3395725
AC130365.3	8	7783859	7812271
PRMT8	12	3600402	3703139
DEFB108P1	8	7791934	7796292
FAM66E	8	7812536	7843571
AC138701.2	15	20059051	20093074
USP17L8	8	7829183	7830775
USP17L3	8	7833915	7835507
EFCAB4B	12	3724494	3862366
VSIG7	15	20169909	20170354
AC105233.2	8	7869864	7872874
FAM90A24P	8	7876958	7888168
AC126603.1	15	20362739	20363125
AC126603.2	15	20433870	20482047
AC105233.1	8	7893936	7898507
AC131280.2	15	20738014	20738388
AC068020.1	8	8086092	8102387
GOLGA6L6	15	20739497	20747114
TTC39C	18	21572737	21715573
AC068020.3	8	8097891	8102384
AC068353.1	8	8175258	8239257
GOLGA8C	15	20767700	20781026
MFHAS1	8	8641999	8751131
AC090772.5	18	21696788	21714060
CABYR	18	21718942	21741564
PARP11	12	3900213	3982608
ERI1	8	8860314	8890848
PPP1R3B	8	8993765	9008206
TNKS	8	9413424	9639856
AC012414.1	15	21021191	21021718
AC006207.1	12	3948468	3949799
AC012414.2	15	21040701	21071662
CCND2	12	4382902	4414521
MSRA	8	9911778	10286401
OSBPL1A	18	21742008	21977823
AC126335.1	15	21236572	21325468
AC126335.3	15	21369346	21369732
AC183089.1	15	22051853	22082822
C12orf5	12	4430359	4469188
FGF23	12	4477393	4488894
AC104964.1	8	10383056	10396328
AC134980.3	15	22318955	22319614
RP1L1	8	10463859	10569697
OR4M2	15	22368478	22369561
FGF6	12	4543308	4554780
OR4N4	15	22382382	22383494
CR392039.3	21	9907194	9968585
C8orf74	8	10530147	10558103
GOLGA8DP	15	22702354	22715702
SOX7	8	10581278	10697386
C12orf4	12	4596934	4647637
CR381653.2	21	10181168	10182885
IMPACT	18	22006580	22033499
CR381653.1	21	10205788	10208039
RAD51AP1	12	4647950	4669213
HRH4	18	22040593	22059921
CR382287.1	21	10605174	10607057
AF254982.1	21	10787229	10795785
IGHV1OR15-5	21	10862622	10863067
GOLGA6L1	15	22736246	22744800
ZNF521	18	22641888	22932214
TPTE	21	10906201	11029719
XKR6	8	10753555	11058848
TUBGCP5	15	22833395	22873892
DYRK4	12	4699486	4723030
AF131215.1	8	10984314	10987275
AC100809.1	8	11105135	11125374
MTMR9	8	11141984	11185670
CYFIP1	15	22892663	23006016
AMAC1L2	8	11188443	11189717
TDH	8	11197187	11225961
AKAP3	12	4724677	4754343
POTED	21	14982498	15013906
LIPI	21	15481134	15579270
NDUFA9	12	4758283	4796397
RBM11	21	15588451	15600693
NIPA2	15	23004684	23034408
C8orf12	8	11225911	11296166
FAM167A	8	11278972	11324276
SS18	18	23596219	23670611
BLK	8	11351510	11422113
ABCC13	21	15646120	15735075
GALNT8	12	4829752	4881892
NIPA1	15	23043277	23086843
GATA4	8	11561713	11617511
AC011767.1	15	23128404	23140378
KCNA6	12	4918342	4960277
WHAMML1	15	23187731	23208417
AF130249.1	21	15717515	15735078
GOLGA9P	15	23255242	23268751
HSPA13	21	15743436	15755805
PSMA8	18	23713816	23773319
KCNA1	12	5019073	5027422
SAMSN1	21	15857549	15955723
AC091565.2	15	23282345	23311039
NEIL2	8	11627172	11644854
KCNA5	12	5153085	5155949
AC091565.3	15	23325195	23335196
AF165138.7	21	15954509	16031142
AC100757.2	15	23403866	23406501
GOLGA8E	15	23435096	23448424
TAF4B	18	23806409	23971642
NRIP1	21	16333556	16437321
NTF3	12	5541280	5604464
FDFT1	8	11660164	11696818
USP25	21	17102344	17252377
AC100756.4	15	23570592	23570966
ANO2	12	5671817	6055398
KCTD1	18	24034874	24209206
AC100756.1	15	23572079	23579270
AC100756.5	15	23599895	23610281
CTSB	8	11700033	11725738
AC100756.3	15	23684690	23692381
MKRN3	15	23810454	23813164
AQP4	18	24432002	24445749
AP001346.1	21	17533031	17560261
VWF	12	6058040	6233836
C21orf37	21	18811208	18821503
NDN	15	23930565	23932450
CXADR	21	18884700	18965897
CHST9	18	24486446	24765289
C15orf2	15	24920541	24928593
SNRPN	15	25068794	25225200
BTG3	21	18965971	18985265
CDH2	18	25530930	25757410
C21orf91	21	19161284	19191703
CHODL	21	19165801	19639690
DSC3	18	28570052	28622781
DEFB136	8	11831446	11832108
CD9	12	6308881	6347427
DEFB135	8	11839830	11842099
DEFB134	8	11851437	11853821
DEFB130	8	11921898	11929256
ZNF705D	8	11961898	11973025
PRSS7	21	19641433	19858197
USP17L7	8	11989926	11991518
PLEKHG6	12	6419602	6437649
USP17L2	8	11994677	11996269
NCAM2	21	22370633	22915650
AC130366.2	8	12003178	12004025
AC130366.1	8	12029718	12033280
FAM86B1	8	12039616	12051624
SNURF	15	25101731	25219603
MRPL39	21	26957968	26979829
DSC2	18	28645940	28682388
AC232308.1	8	12147577	12153698
AC144830.1	8	12168471	12175825
ZNF705F	8	12211943	12216904
FAM66A	8	12219527	12268510
AC124312.1	15	25322013	25330407
TNFRSF1A	12	6437924	6451261
UBE3A	15	25582396	25684128
JAM2	21	27011584	27089874
FAM86B2	8	12283123	12293852
DSC1	18	28709199	28742819
DSG1	18	28898052	28936992
AC068587.1	8	12294626	12424423
OR7E8P	8	12541778	12544523
DSG4	18	28956740	28993880
LONRF1	8	12579403	12612992
ATP10A	15	25923859	26110319
DSG3	18	29027758	29058665
DLC1	8	12940870	13372396
DSG2	18	29078027	29128813
AC100836.1	15	26147507	26298267
GABRB3	15	26788693	27018924
TTR	18	29171689	29178984
C8orf48	8	13424352	13425796
GABRA5	15	27112058	27194349
SGCZ	8	13947373	15095848
B4GALT6	18	29202209	29264686
TUSC3	8	15274724	15624158
MCART2	18	29339659	29340843
KIAA1012	18	29409136	29523091
GABRG3	15	27216683	27778373
RNF125	18	29598335	29653176
RNF138	18	29671828	29711524
OCA2	15	28000021	28344504
MEP1B	18	29769987	29800364
MSR1	8	15965387	16050300
HERC2	15	28356186	28567298
AC091304.2	15	28594197	28603226
GOLGA8F	15	28623810	28637170
FGF20	8	16849678	16859690
EFHA2	8	16884747	16980153
ZDHHC2	8	17013836	17080241
CNOT7	8	17086737	17104387
SCNN1A	12	6456015	6484715
VPS37A	8	17104401	17155533
MTMR7	8	17155552	17270836
GOLGA8G	15	28764757	28778117
SLC7A2	8	17354597	17428082
LTBR	12	6493334	6500733
AC005840.1	12	6548340	6552326
CD27	12	6554051	6560884
AC138749.1	15	28798718	28807725
PDGFRL	8	17434170	17501375
AC055876.5	15	28878409	28930408
TAPBPL	12	6561177	6571484
MTUS1	8	17501304	17658426
AC055876.4	15	28949905	28957567
AC055876.2	15	29008589	29009296
AC055876.1	15	29052134	29064148
VAMP1	12	6571406	6580065
APBA2	15	29213840	29447484
FAM189A1	15	29412455	29862927
MRPL51	12	6601318	6602471
NDNL2	15	29560353	29562033
TJP1	15	29991571	30248497
NCAPD2	12	6602545	6641120
AC111152.1	15	30336645	30337498
GAPDH	12	6643093	6647537
AC120045.3	15	30375158	30385702
AC120045.8	15	30393199	30394249
FAM7A3	15	30406142	30423944
AC120045.4	15	30427254	30428639
AC135731.2	15	30502611	30503009
CHRFAM7A	15	30653443	30685864
AC019322.3	15	30687403	30688453
AC019322.5	15	30695943	30706365
FGL1	8	17721889	17767874
FAM59A	18	29843506	30050447
AC127502.1	15	30771193	30776820
AC026150.4	15	30809285	30810052
AC026150.2	15	30844183	30851659
FAM7A3	15	30875128	30892918
AC026150.3	15	30896231	30897616
AC021224.2	18	29991471	29993167
ARHGAP11B	15	30918403	30977809
WBP11P1	18	30091626	30094596
KLHL14	18	30252634	30352974
AC004460.3	15	31008518	31061502
AC004460.1	15	31089563	31093932
PCM1	8	17780366	17887453
MTMR15	15	31196107	31235308
ATP5J	21	27088815	27107984
MTMR10	15	31231144	31283807
AC012123.1	18	30349758	30354376
C18orf34	18	30517367	31020685
IFFO1	12	6648127	6665237
GABPA	21	27106881	27144771
ASXL3	18	31158541	31327377
APP	21	27252861	27543446
TRPM1	15	31293264	31393910
NOL4	18	31431064	31803515
NOP2	12	6666029	6677480
ASAH1	8	17913925	17942507
KLF13	15	31619058	31670102
DTNA	18	32073254	32471808
OTUD7A	15	31773281	31947542
CHRNA7	15	32322701	32464722
CHD4	12	6679249	6716551
NAT1	8	18067602	18081198
NAT2	8	18248755	18258728
PSD3	8	18384813	18871196
RP13-395E19.1	15	32684983	32695396
CYYR1	21	27838528	27945603
AC139426.1	15	32694769	32695296
FAM7A3	15	32698805	32716878
ADAMTS1	21	28208606	28217728
AC135983.2	15	32728752	32729802
RP11-632K20.1	15	32736888	32747737
AC135983.3	15	32782019	32782786
AC135983.1	15	32815299	32825578
ADAMTS5	21	28290231	28338832
AC123768.1	15	32885755	32893133
N6AMT1	21	30244513	30257693
LPAR5	12	6728001	6745297
MAPRE2	18	32556892	32725381
ARHGAP11A	15	32907691	32932150
AC100800.1	8	18578415	18591911
SH2D4A	8	19171128	19253729
SCG5	15	32933877	32989299
RNF160	21	30300466	30365270
CSGALNACT1	8	19261672	19540272
ACRBP	12	6747242	6756580
ZNF397	18	32820998	32838325
GREM1	15	33010175	33026870
FMN1	15	33066345	33486897
RP11-301J16.2	13	19600138	19606766
ING4	12	6759446	6772308
TUBA3C	13	19747910	19755992
AC116376.1	8	19456450	19457712
INTS10	8	19674822	19709589
RWDD2B	21	30376705	30391699
CDC42BPB	13	19759362	19761644
TMCO5B	15	33527951	33538804
LPL	8	19796284	19824769
SLC18A1	8	20002366	20040717
TPTE2	13	19997017	20110902
RYR3	15	33603177	34158299
USP16	21	30396950	30426809
ZNF397OS	18	32832819	32870172
ATP6V1B2	8	20054878	20079212
CCT8	21	30428126	30446118
AC125494.1	12	6772426	6781235
LZTS1	8	20103676	20161474
ZNF384	12	6775643	6798676
AC069287.3	11	127926	139099
MPHOSPH8	13	20207821	20247581
GFRA2	8	21549532	21646346
C21orf7	21	30449792	30548210
AC011815.1	18	32860831	32870165
ZNF24	18	32912176	32924420
AC069287.1	11	128171	129275
BET1L	11	167784	207428
DOK2	8	21766384	21771195
XPO7	8	21777180	21864095
PSPC1	13	20248896	20357142
SCGB1C1	11	193080	194573
BACH1	21	30671192	31003071
ZNF396	18	32946661	32957301
INO80C	18	33034786	33077955
ODF3	11	196738	200258
ZMYM5	13	20397622	20437776
RIC8A	11	208530	215113
GALNT1	18	33161003	33291798
GRIK1	21	30909254	31312351
SIRT3	11	215427	236431
C18orf21	18	33552046	33559241
ZMYM2	13	20532810	20663253
NPM2	8	21881645	21894407
C12orf53	12	6802958	6809966
AVEN	15	34158427	34331377
PSMD13	11	236808	252984
RPRD1A	18	33569787	33647539
CHRM5	15	34261089	34357295
C21orf41	21	30968364	31003067
CLDN17	21	31537882	31539074
CLDN8	21	31586324	31588391
COPS7A	12	6833212	6841026
FGF17	8	21899937	21906320
C15orf24	15	34376218	34394149
EPB49	8	21911081	21940038
KRTAP24-1	21	31653629	31655276
SLC39A6	18	33688495	33709357
KRTAP25-1	21	31661463	31661832
PGBD4	15	34394274	34396591
KRTAP26-1	21	31691452	31692607
C15orf29	15	34432875	34502280
KRTAP27-1	21	31709331	31710012
KRTAP13-2	21	31720393	31798230
TMEM85	15	34517200	34522357
KRTAP23-1	21	31720717	31720927
KRTAP13-1	21	31768392	31769136
KRTAP13-3	21	31797583	31798286
KRTAP13-4	21	31802572	31803216
SLC12A6	15	34522197	34630265
ELP2	18	33709864	33757909
KRTAP15-1	21	31812624	31813187
MLF2	12	6857170	6862266
KRTAP19-1	21	31852018	31852663
KRTAP19-2	21	31859376	31859755
KRTAP19-3	21	31863782	31864303
KRTAP19-4	21	31864030	31869451
KRTAP19-5	21	31873975	31874435
KRTAP19-6	21	31913854	31933608
FAM160B2	8	21946670	21961891
KRTAP19-7	21	31933194	31933633
KRTAP22-2	21	31962424	31962716
KRTAP6-3	21	31964759	31965394
KRTAP20-1	21	31964786	31989003
KRTAP6-2	21	31970909	31971221
NLRP6	11	278570	285304
KRTAP22-1	21	31973414	31973612
KRTAP6-1	21	31985750	31986249
PTMS	12	6875541	6880118
KRTAP20-4	21	31992946	31993169
GJA3	13	20712394	20735188
KRTAP20-2	21	32007555	32007938
GJB2	13	20761609	20767037
KRTAP20-3	21	32015183	32015455
KRTAP21-3	21	32090843	32091095
ATHL1	11	289135	295688
KRTAP21-2	21	32119112	32119551
GJB6	13	20796110	20806534
KRTAP21-1	21	32127148	32127746
MOCOS	18	33767482	33852120
NUDT18	8	21964383	21966932
KRTAP8-1	21	32185016	32185570
KRTAP11-1	21	32252966	32253874
FHOD3	18	33877702	34360018
LAG3	12	6881670	6887619
CRYL1	13	20977806	21099996
TIAM1	21	32361860	32932290
HR	8	21971928	21989381
IFITM5	11	298203	299526
CD4	12	6898651	6929976
IFITM2	11	308107	309409
REEP4	8	21995527	21999464
IFT88	13	21141208	21265572
KRTAP19-8	21	32410478	32410795
IFITM1	11	311317	315271
SOD1	21	33031935	33041244
LGI3	8	22004338	22014345
SFRS15	21	33043313	33104388
IFITM3	11	319673	320914
C18orf10	18	34376035	34409158
NOP10	15	34633914	34635378
C15orf55	15	34635834	34649933
GPR162	12	6930870	6936583
SFTPC	8	22019184	22021989
B4GALNT4	11	369804	382117
LEPREL2	12	6937572	6949018
KIAA1328	18	34409080	34805287
LPCAT4	15	34651089	34659395
PKP3	11	394217	404908
HUNK	21	33245628	33416946
IL17D	13	21276266	21297237
BMP1	8	22022431	22069839
N6AMT2	13	21296543	21348097
C21orf45	21	33640530	33651380
SIGIRR	11	405716	417397
XPO4	13	21351469	21477187
MRAP	21	33664124	33687095
GOLGA8A	15	34671265	34699888
CELF4	18	34823010	35146000
URB1	21	33683329	33765335
GNB3	12	6949375	6956557
AC027139.2	15	34781206	34782683
C21orf63	21	33784314	33887707
AC027139.3	15	34812803	34813823
LATS2	13	21547171	21635718
GOLGA8B	15	34817408	34875061
ANO9	11	417930	442011
SAP18	13	21714653	21723221
CDCA3	12	6957972	6960456
TCP10L	21	33948862	33957843
GJD2	15	35043233	35046689
ACTC1	15	35080296	35087911
PHYHIP	8	22077217	22089851
C21orf59	21	33951132	33985176
PTDSS2	11	450280	491399
USP5	12	6961285	6975793
AQR	15	35147750	35261956
SKA3	13	21727734	21750710
RNH1	11	494513	507300
POLR3D	8	22102619	22108679
PIK3C3	18	39535171	39667794
MRP63	13	21750784	21753223
AL136219.1	13	21948461	21949329
SYNJ1	21	33997269	34100359
ZDHHC20	13	21950263	22033509
TPI1	12	6976283	6980112
PIWIL2	8	22132827	22215076
ZNF770	15	35270542	35280474
RIT2	18	40323192	40695657
AC114546.1	15	35270690	35272181
ATPBD4	15	35663083	35838404
EFHA1	13	22066836	22178353
SYT4	18	40847859	40857615
C15orf41	15	36871812	37102432
LRRC23	12	6982733	7023407
SETBP1	18	42260138	42648475
SLC39A14	8	22224800	22291642
FGF9	13	22245522	22278637
AL354828.1	13	23238092	23279465
AC103988.1	15	36905673	36906247
AC019016.1	15	37110514	37110660
MEIS2	15	37183222	37393500
SGCG	13	23755091	23899304
SLC14A2	18	43194766	43263072
HRAS	11	532242	537287
SACS	13	23902965	24007841
PPP3CC	8	22298596	22398635
ENO2	12	7023614	7032859
SLC14A1	18	43304092	43332485
ATN1	12	7033626	7051482
TNFRSF19	13	24144509	24250232
SORBS3	8	22409208	22433007
C21orf66	21	34106210	34144169
TMCO5A	15	38227458	38243740
SIGLEC15	18	43405545	43422521
SPRED1	15	38545052	38649450
MIPEP	13	24304328	24463558
C12orf57	12	7053203	7055164
KIAA1632	18	43427574	43547240
PTPN6	12	7055740	7070479
FAM98B	15	38746328	38779911
RP11-45B20.2	13	24462240	24476794
LRRC56	11	537522	554916
PDLIM2	8	22435792	22458873
C21orf49	21	34144411	34266043
RASGRP1	15	38780308	38857007
PSTPIP2	18	43563502	43652238
C21orf62	21	34165875	34186053
C11orf35	11	554855	560779
SPATA13	13	24734861	24896096
OLIG2	21	34398153	34401504
RASSF7	11	560404	564024
OLIG1	21	34442450	34444726
ATP5A1	18	43664110	43684300
C21orf54	21	34537776	34542954
IFNAR2	21	34602206	34656082
PHRF1	11	576483	612220
PHB2	12	7074848	7079916
C1QTNF9	13	24881304	24896673
RP11-582J16.1	8	22446811	22459825
C8orf58	8	22457114	22461663
AL359736.1	13	24895092	24895810
HAUS1	18	43684298	43708299
EMG1	12	7080087	7095921
PARP4	13	24995064	25086948
KIAA1967	8	22462257	22477975
C18orf25	18	43753988	43846954
C15orf53	15	38988799	38992239
AP000295.9	21	34619079	34655517
C15orf54	15	39542885	39547046
IRF7	11	612555	615999
U47924.1	12	7085347	7125842
THBS1	15	39873127	39891119
IL10RB	21	34638663	34669539
RNF165	18	43914187	44040783
LOXHD1	18	44056935	44236937
ATP12A	13	25254695	25285918
IFNAR1	21	34696782	34732168
BIN3	8	22477961	22526661
C1S	12	7096351	7178336
MUPCDH	11	616575	626078
IFNGR2	21	34757299	34851655
FSIP1	15	39892232	40075039
RNF17	13	25338290	25454059
EGR3	8	22545172	22550815
GPR176	15	40091223	40213093
PEBP4	8	22570765	22785421
ST8SIA5	18	44259081	44337132
SCT	11	626319	627171
EIF2AK4	15	40226347	40327797
AP006284.3	11	627013	637413
PIAS2	18	44392060	44497466
RHOBTB2	8	22857092	22877712
C1R	12	7187836	7244412
DRD4	11	637293	640706
DEAF1	11	644225	695740
TNFRSF10B	8	22877653	22926692
CENPJ	13	25457171	25497085
TNFRSF10C	8	22941868	22974950
TNFRSF10D	8	22993101	23021543
KATNAL2	18	44526787	44627658
PABPC3	13	25670276	25672705
TNFRSF10A	8	23048064	23082639
SRP14	15	40327891	40331389
CHMP7	8	23101150	23119512
RP11-165I9.3	13	25715674	25716046
TCEB3CL	18	44548658	44550534
TMEM80	11	695609	704129
BMF	15	40380091	40401075
FAM123A	13	25735822	25746426
MTMR6	13	25820339	25862147
TCEB3C	18	44554573	44556449
TCEB3B	18	44558943	44561992
EPS8L2	11	706120	727726
HDHD2	18	44633782	44676871
R3HCC1	8	23145442	23153791
BUB1B	15	40453210	40513378
NUPL1	13	25875662	25923938
IER3IP1	18	44681413	44702745
AC051635.2	18	44693037	44693612
AC051635.3	18	44746293	44775554
LOXL2	8	23154410	23261722
PAK6	15	40509629	40569688
SMAD2	18	45357922	45457515
TALDO1	11	747329	765024
ATP8A2	13	25946209	26599989
PDDC1	11	767225	777501
ENTPD4	8	23243441	23315244
C15orf56	15	40542868	40545110
AC020658.1	15	40573645	40574787
PLCB2	15	40580100	40600174
SLC25A37	8	23386363	23430063
AL138815.1	13	26442061	26455095
TMEM46	13	26618735	26625198
CEND1	11	787104	790123
RNF6	13	26706253	26796791
SLC25A22	11	790475	796221
AC051642.2	8	23432167	23432316
NKX3-1	8	23536206	23540450
NKX2-6	8	23559964	23564111
LRDD	11	799180	805245
STC1	8	23699428	23712320
CDK8	13	26828276	26979375
ADAM28	8	24151580	24212726
C1RL	12	7247153	7261793
WASF3	13	27131840	27263085
C15orf52	15	40623653	40633168
PHGR1	15	40643234	40648504
DISP2	15	40650436	40663257
GPR12	13	27331923	27334922
C15orf23	15	40674922	40686488
RPLP2	11	808836	812875
AC233309.1	12	7261167	7274425
RBP5	12	7276283	7281487
PNPLA2	11	818902	825573
USP12	13	27640293	27746033
CLSTN3	12	7282967	7311526
EFCAB4A	11	827585	831991
ADAMDEC1	8	24241798	24263526
RPL21	13	27825446	27830828
CD151	11	832843	838834
ADAM7	8	24298509	24367078
PEX5	12	7341759	7371170
NEFM	8	24770525	24776606
POLR2L	11	839721	842545
NEFL	8	24808468	24814624
TSPAN4	11	842812	867116
ZBTB7C	18	45553748	45567494
DOCK5	8	25042238	25273232
KIAA0427	18	46065417	46389588
ACSM4	12	7456911	7480980
GNRH1	8	25276776	25282556
CD163L1	12	7507559	7596749
